Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> i declare resumed the session of the european parliament adjourned on friday <NUM> december 199 and i would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period <EOS>    PP Score = 4.982
<SOS> although as you will have seen the dreaded millennium bug failed to materialise still the people in a number of countries suffered a series of natural disasters that truly were dreadful <EOS>    PP Score = 8.227
<SOS> you have requested a debate on this subject in the course of the next few days during this part session <EOS>    PP Score = 6.908
<SOS> in the meantime i should like to observe a minute s silence as a number of members have requested on behalf of all the victims concerned particularly those of the terrible storms in the various countries of the european union <EOS>    PP Score = 6.540
<SOS> please rise then for this minute s silence <EOS>    PP Score = 11.424
<SOS> the house rose and observed a minute s silence <EOS>    PP Score = 3.980
<SOS> madam president on a point of order <EOS>    PP Score = 3.714
<SOS> you will be aware from the press and television that there have been a number of bomb explosions and killings in sri lanka <EOS>    PP Score = 7.893
<SOS> one of the people assassinated very recently in sri lanka was mr kumar ponnambalam who had visited the european parliament just a few months ago <EOS>    PP Score = 8.049
<SOS> would it be appropriate for you madam president to write a letter to the sri lankan president expressing parliament is regret at his and the other violent deaths in sri lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation <EOS>    PP Score = 5.625
<SOS> yes mr evans i feel an initiative of the type you have just suggested would be entirely appropriate <EOS>    PP Score = 8.320
<SOS> if the house agrees i shall do as mr evans has suggested <EOS>    PP Score = 7.770
<SOS> madam president on a point of order <EOS>    PP Score = 3.714
<SOS> i would like your advice about rule <NUM> concerning inadmissibility <EOS>    PP Score = 7.839
<SOS> my question relates to something that will come up on thursday and which i will then raise again <EOS>    PP Score = 8.105
<SOS> the cunha report on multiannual guidance programmes comes before parliament on thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually <EOS>    PP Score = 5.776
<SOS> it says that this should be done despite the principle of relative stability <EOS>    PP Score = 9.388
<SOS> i believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible <EOS>    PP Score = 7.393
<SOS> i want to know whether one can raise an objection of that kind to what is merely a report not a legislative proposal and whether that is something i can competently do on thursday <EOS>    PP Score = 6.457
<SOS> that is precisely the time when you may if you wish raise this question i e on thursday prior to the start of the presentation of the report <EOS>    PP Score = 6.528
<SOS> madam president coinciding with this year s first part session of the european parliament a date has been set unfortunately for next thursday in texas in america for the execution of a young <NUM> year old man who has been sentenced to death we shall call him mr hicks <EOS>    PP Score = 5.148
<SOS> at the request of a french member mr zimeray a petition has already been presented which many people signed including myself <EOS>    PP Score = 6.739
<SOS> this is all in accordance with the principles that we have always upheld <EOS>    PP Score = 10.895
<SOS> thank you mr segni i shall do so gladly <EOS>    PP Score = 7.124
<SOS> indeed it is quite in keeping with the positions this house has always adopted <EOS>    PP Score = 8.459
<SOS> madam president i should like to draw your attention to a case in which this parliament has consistently shown an interest <EOS>    PP Score = 6.312
<SOS> it is the case of alexander nikitin <EOS>    PP Score = 15.552
<SOS> all of us here are pleased that the courts have acquitted him and made it clear that in russia too access to environmental information is a constitutional right <EOS>    PP Score = 7.025
<SOS> now however he is to go before the courts once more because the public prosecutor is appealing <EOS>    PP Score = 7.960
<SOS> we know and we have stated as much in very many resolutions indeed including specifically during the last plenary part session of last year that this is not solely a legal case and that it is wrong for alexander nikitin to be accused of criminal activity and treason because of our involvement as the beneficiaries of his findings <EOS>    PP Score = 6.765
<SOS> these findings form the basis of the european programmes to protect the barents sea and that is why i would ask you to examine a draft letter setting out the most important facts and to make parliament is position as expressed in the resolutions which it has adopted clear as far as russia is concerned <EOS>    PP Score = 7.477
<SOS> yes mrs schroedter i shall be pleased to look into the facts of this case when i have received your letter <EOS>    PP Score = 8.097
<SOS> madam president i would firstly like to compliment you on the fact that you have kept your word and that during this first part session of the new year the number of television channels in our offices has indeed increased considerably <EOS>    PP Score = 6.343
<SOS> but madam president my personal request has not been met <EOS>    PP Score = 15.388
<SOS> although there are now two finnish channels and one portuguese one there is still no dutch channel which is what i had requested because dutch people here like to be able to follow the news too when we are sent to this place of exile every month <EOS>    PP Score = 5.854
<SOS> i would therefore once more ask you to ensure that we get a dutch channel as well <EOS>    PP Score = 10.083
<SOS> mrs plooij van gorsel i can tell you that this matter is on the agenda for the quaestors meeting on wednesday <EOS>    PP Score = 6.752
<SOS> it will i hope be examined in a positive light <EOS>    PP Score = 9.386
<SOS> madam president can you tell me why this parliament does not adhere to the health and safety legislation that it actually passes <EOS>    PP Score = 7.145
<SOS> why has no air quality test been done on this particular building since we were elected <EOS>    PP Score = 7.018
<SOS> why has there been no health and safety committee meeting since 1998 <EOS>    PP Score = 6.418
<SOS> why has there been no fire drill either in the brussels parliament buildings or the strasbourg parliament buildings <EOS>    PP Score = 5.382
<SOS> why are there no fire instructions <EOS>    PP Score = 13.764
<SOS> why have the staircases not been improved since my accident <EOS>    PP Score = 8.836
<SOS> why are no smoking areas not enforced <EOS>    PP Score = 11.522
<SOS> mrs lynne you are quite right and i shall check whether this has actually not been done <EOS>    PP Score = 7.761
<SOS> i shall also refer the matter to the college of quaestors and i am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on <EOS>    PP Score = 7.175
<SOS> i would ask that they reconsider since this is not the case <EOS>    PP Score = 7.139
<SOS> the questions answered previously referred to mrs de palacio s intervention on another occasion and not to these comments which appeared in the abc newspaper on <NUM> november <EOS>    PP Score = 5.896
<SOS> mr berenguer fuster we shall check all this <EOS>    PP Score = 10.149
<SOS> i admit that at present the matter seems to be somewhat confused <EOS>    PP Score = 10.299
<SOS> we shall therefore look into it properly to ensure that everything is as it should be <EOS>    PP Score = 7.957
<SOS> madam president i should like to know if there will be a clear message going out from parliament this week about our discontent over today is decision refusing to renew the arms embargo on indonesia considering that the vast majority in this parliament have endorsed the arms embargo in indonesia in the past <EOS>    PP Score = 5.813
<SOS> today is decision not to renew the embargo is extremely dangerous considering the situation there <EOS>    PP Score = 6.978
<SOS> so parliament should send a message since that is the wish of the vast majority <EOS>    PP Score = 9.683
<SOS> it is irresponsible of eu member states to refuse to renew the embargo <EOS>    PP Score = 10.504
<SOS> as people have said the situation there is extremely volatile <EOS>    PP Score = 10.530
<SOS> there is in fact a risk of a military coup in the future <EOS>    PP Score = 7.053
<SOS> we do not know what is happening <EOS>    PP Score = 7.104
<SOS> so why should eu arms producers profit at the expense of innocent people <EOS>    PP Score = 7.970
<SOS> in any event this question is not presently included among the requests for topical and urgent debate on thursday <EOS>    PP Score = 6.555
<SOS> agenda <EOS>    PP Score = 5433.690
<SOS> the next item is the verification of the final version of the draft agenda as drawn up by the conference of presidents at its meeting of <NUM> january pursuant to rule <NUM> of the rules of procedure <EOS>    PP Score = 3.996
<SOS> no amendments have been proposed relating to monday and tuesday <EOS>    PP Score = 12.050
<SOS> relating to wednesday <EOS>    PP Score = 45.707
<SOS> the group of the party of european socialists requests that a commission statement be included on its strategic objectives for the next five years and on the administrative reform of the commission <EOS>    PP Score = 4.593
<SOS> then we shall follow the usual procedure hearing one speaker in favour and one against <EOS>    PP Score = 5.255
<SOS> madam president the presentation of the prodi commission s political programme for the whole legislature was initially a proposal by the group of the party of european socialists which was unanimously approved by the conference of presidents in september and which was also explicitly accepted by president prodi who reiterated his commitment in his inaugural speech <EOS>    PP Score = 5.040
<SOS> i would also like to point out madam president that this parliament voted to express its confidence in president prodi during the previous legislature it did so again during this legislature in july and then in september it voted once more to approve the whole commission <EOS>    PP Score = 5.149
<SOS> there has therefore been enough time for the commission to prepare its programme and for us to become familiar with it and explain it to our citizens <EOS>    PP Score = 8.429
<SOS> to this end i would like to remind you of the resolution of <NUM> september which recommended that the proposal be presented as soon as possible <EOS>    PP Score = 5.781
<SOS> the events of last week which originated outside the conference of presidents that conference being used simply to corroborate and ratify decisions taken elsewhere present us with a dilemma either the commission is not ready to present this programme in which case it should clarify it <EOS>    PP Score = 5.232
<SOS> according to its president it is in a position to do so <EOS>    PP Score = 8.093
<SOS> given that the commission is represented by vice president de palacio i believe that before voting it would help if the commission could let us know how ready it is to present this programme as agreed alternatively parliament is not ready to examine this programme as some appear to be suggesting <EOS>    PP Score = 7.389
