#### THIS file contains the score of all different models on different corpus...
 
## MEDICAL
MAP: 0.263867567248
MRR: 0.398113442113
P@1: 0.348
P@3: 0.320333333333
P@5: 0.294033333333
P@15: 0.209848529249
## MEDICAL 1
MAP: 0.291634683465
MRR: 0.461488961039
P@1: 0.394
P@3: 0.348666666667
P@5: 0.313933333333
P@15: 0.237506432456
## MEDICAL 2
MAP: 0.338051261701
MRR: 0.426133483183
P@1: 0.368
P@3: 0.356666666667
P@5: 0.3516
P@15: 0.320915306915

## MUSIC
MAP: 0.459858972139
MRR: 0.605613564214
P@1: 0.472
P@3: 0.479
P@5: 0.469466666667
P@15: 0.438791486291
## MUSIC 1 (after normalizing the embedding)
MAP: 0.462031976912
MRR: 0.623947496947
P@1: 0.49
P@3: 0.494333333333
P@5: 0.4785
P@15: 0.431833361083

## ENGLISH 1 (without normalizing the embeddings)
MAP: 0.175553681627
MRR: 0.324012657713
P@1: 0.258
P@3: 0.186111111111
P@5: 0.169866666667
P@15: 0.162319269619
## ENGLISH 2 (normalizing the embeddings)
MAP: 0.23528334838
MRR: 0.344468895919
P@1: 0.259333333333
P@3: 0.198111111111
P@5: 0.204266666667
P@15: 0.275807747808
## ENGLISH 3 (with Batch Size 64)
MAP: 0.230467290364
MRR: 0.340441021941
P@1: 0.255333333333
P@3: 0.195222222222
P@5: 0.1967
P@15: 0.27114027269

## ITALIAN 1 (128)
MAP: 0.180671181041
MRR: 0.273303119103
P@1: 0.174
P@3: 0.145666666667
P@5: 0.150016666667
P@15: 0.222976293151
## ITALIAN 2 (128) (seeing the effect after lowering the cases)
MAP: 0.144061735487
MRR: 0.219850899101
P@1: 0.148
P@3: 0.118833333333
P@5: 0.1205
P@15: 0.175912848263
## ITALIAN 300_1 (300)
MAP: 0.213679699005
MRR: 0.342951490176
P@1: 0.25
P@3: 0.174166666667
P@5: 0.1744
P@15: 0.260526184926
## ITALIAN 300_2 (300) (seeing the effect after lowering the cases)
MAP: 0.224054511785
MRR: 0.301827239427
P@1: 0.193
P@3: 0.1735
P@5: 0.191533333333
P@15: 0.283830705406

## SPANISH (ESWIKI) model1
MAP: 0.334065186665
MRR: 0.522274364524
P@1: 0.432
P@3: 0.311833333333
P@5: 0.2923
P@15: 0.374753640804
## SPANISH (MIN5) model1
MRR: 0.387492449217
MAP: 0.219212033892
P@1: 0.31
P@3: 0.206666666667
P@5: 0.19105
P@15: 0.239360142635
